row_from_station,id,name,rating,review_count,latitude,longitude
448,tjW-qXUmTJOsjbBVY8ypUQ,Parc Beaubien,4.0,1,45.554089,-73.58981
448,SFfxEloUrricg46FiCDuow,Parc du Pélican,5.0,1,45.5441365,-73.5773434
448,MHe8I3s7mdVrMgNHM5B5kg,Parc Molson,4.5,3,45.5496898272127,-73.5920444173294
449,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
449,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
449,kKC4A895XcoEzJDVlEMlJQ,Jardins de Lumière,4.0,16,45.5565462,-73.5546013
449,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
450,GQpPwAKp_z7Xdh67rrCd3g,Parc la Fontaine,4.5,55,45.52705446977039,-73.56946468220876
450,ctNVGh_5lE6oiu3GQhmd3Q,Square Saint-Louis,4.5,25,45.516898,-73.570043
450,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
450,663j73y1oN_Ypl5qG5SRzg,Parc Des Faubourgs,3.0,1,45.527203177033,-73.5571799545549
450,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
451,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
451,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
452,RsEmBcPXPJOP9SlAMnVrYw,Parc Morgan,5.0,2,45.5511733295307,-73.5324260420405
453,J3AMUmtEqXCqF2-lUOak0w,Parc Willibrord,5.0,1,45.45911,-73.57387
453,n3XqT5LikeUreX9WFDZZdw,Parc Arthur-Therrien,3.5,2,45.46624,-73.56235
453,4EXH89p0m_HepYwJZk1-LQ,Parc Monseigneur J-A Richard,5.0,1,45.4571688985545,-73.5627650097013
453,xcHUhWgOZBjC3NC-_igYhQ,Parc Champion du Parc Arthur-Therrien,2.0,1,45.4687120776599,-73.5591041296721
454,E14VLV7RMLpoLhEVpPVQcQ,Vieux-Port de Montréal,4.5,113,45.4999814,-73.5533775
454,Wkw2h5UYaGbXsq9si0vWxw,Place Jean-Paul Riopelle,4.5,4,45.5032781324417,-73.5610858306048
454,sK3Rb2TyDZQBhwu5l3sezw,Place Jacques-Cartier,4.0,13,45.5109183239064,-73.5527801513672
454,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
